name,aliases,place,wikidata,region,group,usage,lon,lat,cid
nova nadiia,nova nadiia;novaya nadiia;novaya nadiya,village,Q4311914,dnipropetrovsk region,vostok group of forces,0,33.5771466,48.0150436,592770100549578171
zaliznyi port,zaliznyi port;zhelezny port;zhyeleznyy port,village,Q934628,kherson region,dnepr group of forces,0,32.2905656,46.1224444,584641445443881990
luhansk,lugansk;luhansk;voroshilovgrad;voroshylovhrad,city,Q134279,luhansk region,,0,39.3568414,48.5863352,595223776716857001
yevpatoriya,evpatoriya;yevpatoriya,city,Q33345,autonomous republic of crimea,,0,33.4009516,45.2007999,580683014606437752
kherson,kherson,city,Q156732,kherson region,dnepr group of forces,0,32.6354988,46.6508536,586910949113106283
makiivka,makeevka;makeyevka;makiivka;makiovka;makiyivka,city,Q157134,donetsk region,tsentr group of forces,0,37.9614353,48.056729,592949136265696219
khartsyzk,khartsyzk;khartsyzsk,town,Q1003757,donetsk region,tsentr group of forces,0,38.1419875,48.0404125,592879059579475235
kamianske,dneprodzerzhinsk;dniprodzerzhynsk;kamenskoe;kamianske;kamianskoe;kamianskoye;kamyanske,city,Q156719,dnipropetrovsk region,,0,34.6036554,48.535842,595006910928426887
sudak,sudak,town,Q7830,autonomous republic of crimea,,0,34.9758655,44.8561632,579202809964021113
chystiakove,chistyakovo;chystiakove;torez,town,Q162084,donetsk region,tsentr group of forces,0,38.6180452,48.0333951,592848913204500669
dokuchaievsk,dokuchaevsk;dokuchaievsk,town,Q2416554,donetsk region,tsentr group of forces,0,37.6796034,47.7520823,591640687363589875
nikopol,nikopol,city,Q156760,dnipropetrovsk region,vostok group of forces,0,34.3751381,47.5762274,590885395886447330
skadovsk,skadovsk,town,Q669688,kherson region,dnepr group of forces,0,32.9104915,46.1210716,584635552749371803
stepanivka,stepanivka;stepanovka,village,Q4441936,kherson region,dnepr group of forces,0,32.5793604,46.6943481,587097754420622368
byriuchyi island,biryúchiy óstrov;biryúchy óstrov;byriuchyi island,locality,Q4087206,kherson region,dnepr group of forces,0,35.1103387,46.1502965,584761073170797251
lenino,lenino;sem kolodezey;yedi kuyu,town,Q1817745,autonomous republic of crimea,,0,35.7767149,45.301236,581114383944154571
vilnohirsk,vilnohirsk;volnogorsk,town,Q577225,dnipropetrovsk region,,0,34.0404238,48.4900728,594810334569693032
shakhtarsk,shakhtarsk;shakhtyorsk,town,Q29756,donetsk region,tsentr group of forces,0,38.4603575,48.0650244,592984763019915462
alchevsk,alchevsk,city,Q161144,luhansk region,zapad group of forces,0,38.802241,48.4762492,594750960946554945
perevalsk,perevalsk,town,Q2354490,luhansk region,zapad group of forces,0,38.8069026,48.4384152,594588465153882743
amvrosiivka,amvrosievka;amvrosiivka;amvrosiovka,town,Q1996358,donetsk region,tsentr group of forces,0,38.5035221,47.7909497,591807624153274722
antratsyt,antratsit;antratsyt,town,Q609028,luhansk region,,0,39.0853923,48.1248844,593241859762879056
zalizne,artemove;artyomovo;nelepovskiy;nelepovsky;zalizne;zaliznoe;zheleznoe;zhyeleznoe,town,Q1937296,donetsk region,tsentr group of forces,0,37.8878488,48.371296,594300191243023465
toretsk,dzerzhinsk;dzerzhynsk;toretsk,town,Q2416525,donetsk region,tsentr group of forces,0,37.8451329,48.3927605,594392382715989389
pivnichne,kirove;kirovo;pivnichne;pivnichnoe;pivnichnoye;pivnichny;severnoe;severnoye,town,Q4221569,donetsk region,tsentr group of forces,0,37.9115761,48.3957247,594405112999121176
pokotylivka,pokotilovka;pokotylivka;pokotylovka,town,Q4369132,kharkiv region,sever group of forces,0,36.1749706,49.9143411,600927519052566907
barvinkove,barvenkovo;barvinkove,town,Q809665,kharkiv region,zapad group of forces,0,37.0270321,48.9062573,596597826946830808
bile,beloe;bile,town,Q1981596,luhansk region,,0,39.0375138,48.4928902,594822433497562954
beregovoe,beregove;beregovoe;beregovoye,village,Q3920757,autonomous republic of crimea,,0,35.4301009,45.0975625,580239615069729749
bilopillia,belopole;bilopillia,town,Q591896,sumy region,sever group of forces,0,34.3028262,51.1468372,606221049063145578
valky,valki;valky,town,Q1104747,kharkiv region,sever group of forces,0,35.6177803,49.8380958,600600049270526196
velyka lepetykha,bolshaya lepetykha;velikaya lepetikha;velyka lepetykha,town,Q2010740,kherson region,dnepr group of forces,0,33.9336809,47.175477,589164187742133873
velyka novosilka,bolshaya novosilka;bolshaya novosyolka;bolshoy yanisol;velikaya novosyolka;velyka novosilka;velíkaya novosiolka,town,Q4106309,donetsk region,tsentr group of forces,0,36.8399734,47.8441857,592036271030581029
verkhnodniprovsk,verkhnedneprovsk;verkhnodniprovsk,town,Q639428,dnipropetrovsk region,,0,34.3420408,48.6457323,595478884884322713
panteleimonivka,panteleimonivka;panteleimonovka;panteleymonovka,town,Q4344325,donetsk region,tsentr group of forces,0,37.9791426,48.1988536,593559554197690631
pokrovsk,krasnoarmeysk;krasnoarmiisk;krasnoarmiysk;pokrovsk,town,Q1000446,donetsk region,tsentr group of forces,0,37.1731233,48.2823339,593918102361721987
popasna,popasna;popasnaya,town,Q2350804,luhansk region,zapad group of forces,0,38.380386,48.6342059,595429381095307362
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka,town,Q2415962,donetsk region,zapad group of forces,0,37.7668703,48.8502994,596357493462588373
selydove,selidovo;selydove,town,Q951436,donetsk region,tsentr group of forces,0,37.2967376,48.1478838,593340644008898402
nova kakhovka,nova kakhovka;novaya kakhovka,town,Q987491,kherson region,dnepr group of forces,0,33.3466466,46.7532017,587350530426628439
sviatohirsk,slavyanogorsk;slovianohirsk;sviatohirsk;svyatogorsk,town,Q1020087,donetsk region,zapad group of forces,0,37.5614664,49.040532,597174533681035642
voloshino,voloshino;voloshyne,village,Q4124099,autonomous republic of crimea,,0,33.6465535,46.1129436,584600643255925978
ishun,ishun,village,Q4205706,autonomous republic of crimea,,0,33.8250023,45.9230661,583785123455874537
perekop,perekop,village,Q532838,autonomous republic of crimea,,0,33.6929322,46.1610472,584807244067811843
suvorovo,dzhulga;suvorovo,village,Q4445173,autonomous republic of crimea,,0,33.6884214,46.0879243,584493183174221925
kadiivka,kadievka;kadiivka;stakhanov,town,Q837093,luhansk region,zapad group of forces,0,38.6487208,48.5620129,595119314521575569
rubizhne,rubezhnoe;rubizhne;rubizhnoe;rubizhnoye;rubizhny,town,Q922375,luhansk region,zapad group of forces,0,38.3850047,49.0126602,597054824353385069
mospyne,mospino;mospyne,town,Q2415358,donetsk region,tsentr group of forces,0,38.0651158,47.8793066,592187110283241692
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka,village,Q4320316,donetsk region,tsentr group of forces,0,37.3850772,48.1868481,593507993114708085
kreminna,kremennaya;kreminna,town,Q2350295,luhansk region,zapad group of forces,0,38.2053554,49.0181444,597078382248823979
otamanivka,atamanovka;molodogvardeysk;molodogvardeyskoe;molodohvardiisk;otamanivka;otamanovka,town,Q2238005,luhansk region,,0,39.6397207,48.3446423,594185713186467753
lozova,lozova;lozovaya;lozovaya station,town,Q889630,kharkiv region,,0,36.3149946,48.8852986,596507817316496499
shchastia,schaste;shchastia,town,Q391938,luhansk region,,0,39.2170227,48.7483998,595919840591543422
holubivka,golubivka;golubovka;holubivka;holubovka;kirovsk,town,Q2234599,luhansk region,zapad group of forces,0,38.6491655,48.6449582,595475560583942734
pryvillia,privole;privolia;privolya;privolye;pryvillia,town,Q288160,luhansk region,zapad group of forces,0,38.2957078,49.0020504,597009259045252508
pivdenne,leninskoe;pivdenne;pivdennoe;pivdennoye;pivdenny;yuzhnoe;yuzhnoye,town,Q4258428,donetsk region,tsentr group of forces,0,37.9133905,48.3645292,594271127199356974
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka,village,Q4320374,donetsk region,tsentr group of forces,0,38.2474159,47.9982528,592697983758381304
zuhres,zugres;zuhres,town,Q669778,donetsk region,tsentr group of forces,0,38.2740527,48.0160913,592774597385033989
slavne,slavne;slavnoe;slavnoye,village,Q4422968,donetsk region,tsentr group of forces,0,38.3192318,48.2179969,593641777051945344
zhovti vody,zhovti vody;zhyoltye vody,town,Q639054,dnipropetrovsk region,,0,33.5129853,48.3614765,594258018954769177
trostianets,trostianets;trostyanets,town,Q606706,sumy region,sever group of forces,0,34.9765478,50.4714712,603320374180988964
lyman,krasny liman;krasnyi lyman;krasnyy liman;liman;lyman,town,Q2234641,donetsk region,zapad group of forces,0,37.8096824,48.9856927,596939006264705810
zhdanivka,zhdanivka;zhdanovka,town,Q2354450,donetsk region,tsentr group of forces,0,38.247537,48.1495135,593347640511574385
kovske,kovske;kovskoe,village,Q4225861,donetsk region,tsentr group of forces,0,38.2395443,47.2371462,589429054084616760
kuznetsi,kuznetsi;kuznetsy,hamlet,Q4245190,donetsk region,tsentr group of forces,0,38.3190465,47.2764169,589597721745377478
samiilove,samiilove;samoylovo,village,Q4406779,donetsk region,tsentr group of forces,0,38.247952,47.2562256,589511002060632848
berestove,berestove;berestovoe;berestovoye,hamlet,Q4084806,donetsk region,tsentr group of forces,0,38.332087,47.5872021,590932533156477879
verbova balka,verbova balka;verbovaya balka,village,Q4107462,donetsk region,tsentr group of forces,0,38.0820894,47.8340264,591992634164095785
marhanets,marganets;marhanets,town,Q610813,dnipropetrovsk region,vostok group of forces,0,34.6137714,47.6437322,591175327654002443
prosyana,prosiana;prosyana;prosyanaya,town,Q3407833,dnipropetrovsk region,tsentr group of forces,0,36.3671972,48.1173983,593209707634983005
shostka,shostka,town,Q1000454,sumy region,sever group of forces,0,33.4826949,51.8765511,609355146827758791
hirske,gorskoe;hirske,town,Q1004740,luhansk region,zapad group of forces,0,38.4942952,48.7509475,595930784167490903
zolote,zolote;zolotoe,town,Q582033,luhansk region,zapad group of forces,0,38.5184864,48.6927884,595680988869579734
sokolohirsk,aleksandrovka;pervomaisk;pervomaysk;petro marevka;sokologorsk;sokolohirsk,town,Q1844446,luhansk region,zapad group of forces,0,38.5643412,48.6271028,595398873942787829
konotop,conotopy;konotop,town,Q162083,sumy region,sever group of forces,0,33.2059646,51.235877,606603472950084557
temriuk,temriuk;temryuk,village,Q4454570,donetsk region,tsentr group of forces,0,37.9877585,47.8943428,592251693706394286
novovorontsovka,novovorontsovka,town,Q2010524,kherson region,dnepr group of forces,0,33.9163714,47.4989077,590553313309629139
kerch,kerch;pantikapey,city,Q157065,autonomous republic of crimea,,0,36.4937563,45.3040221,581126349723758268
voikovo,voikovo;voykovo,village,Q4122529,autonomous republic of crimea,,0,36.4333693,45.3843924,581471536245277401
alushta,alushta,town,Q46001,autonomous republic of crimea,,0,34.3998482,44.6674507,578392298095082344
kakhovka,kakhovka,town,Q995152,kherson region,dnepr group of forces,0,33.4886176,46.8078549,587585263274398698
tavriisk,tavriisk;tavriysk,town,Q760227,kherson region,dnepr group of forces,0,33.4267309,46.7554037,587359987944694315
chasiv yar,chasiv yar;chasov yar,town,Q2415330,donetsk region,zapad group of forces,0,37.8438073,48.5724189,595164007950452831
debaltseve,debaltseve;debaltsevo,town,Q2371760,donetsk region,tsentr group of forces,0,38.4246326,48.3417432,594173262075061561
shakhtarske,shakhtarske;shakhterskoe;shakhterskoye;shakhtyorskoe,town,Q4521472,luhansk region,,0,39.5523503,48.0515384,592926841092053598
dovzhansk,dolzhansk;dovzhansk;sverdlovsk,town,Q572366,luhansk region,,0,39.6587879,48.0581828,592955381149841956
mykhailivka,mikhailovka;mikhaylovka;mykhailivka;mykhailovka;mykhaylivka;mykhaylovka,town,Q4297605,luhansk region,,0,39.2549356,48.065415,592986442352922776
rovenky,rovenki;rovenky,town,Q1012631,luhansk region,,0,39.3488179,48.0699008,593005709576306514
oleksiievo druzhkivka,alekseevo druzhkovka;oleksiievo druzhkivka;oleksiievo druzhkovka,town,Q4061852,donetsk region,zapad group of forces,0,37.6166815,48.5778689,595187415521988905
druzhkivka,druzhkivka;druzhkovka,town,Q157795,donetsk region,zapad group of forces,0,37.533193,48.6260959,595394548909689608
novohryhorivka,novo grigorovka;novogrigorovka;novohryhorivka;novohryhorovka,town,Q4323496,donetsk region,zapad group of forces,0,37.4241715,48.5759265,595179074695307563
novomykolaivka,novomikolayivka;novomykolaivka;novomykolayivka;novonikolaevka;novonikolayevka,town,Q4324648,donetsk region,zapad group of forces,0,37.3617072,48.562266,595120401147014443
raiske,raiske;rayskoe;rayskoye,town,Q4389195,donetsk region,zapad group of forces,0,37.4624929,48.579168,595192994684352221
leonidivka,leonidivka;leonidovka,village,Q4258806,donetsk region,tsentr group of forces,0,37.8024168,48.3703182,594295990764922545
nelipivka,nelepovka;nelipivka;nelipovka,town,Q4316732,donetsk region,tsentr group of forces,0,37.8319895,48.3570473,594238992253966901
niu york,niu york;novgorodskoe;novhorodske;nyu york,town,Q4322522,donetsk region,tsentr group of forces,0,37.8526634,48.3173138,594068340318415607
shcherbynivka,shcherbinovka;shcherbynivka;shcherbynovka,town,Q4528953,donetsk region,tsentr group of forces,0,37.7931055,48.4003059,594424788244185682
yurivka,urevka;yurevka;yurivka;yurovka,hamlet,Q4535268,donetsk region,tsentr group of forces,0,37.8321799,48.3140297,594054235645795060
ukrainsk,ukrainsk,town,Q2496842,donetsk region,tsentr group of forces,0,37.3627295,48.0980952,593126801882263850
tsukuryne,tsukurino;tsukuryne,town,Q4506151,donetsk region,tsentr group of forces,0,37.306586,48.0803425,593050557622769114
ilovaisk,ilovaisk;ilovaysk,town,Q2415345,donetsk region,tsentr group of forces,0,38.2003446,47.9252806,592384567109843225
krolevets,krolevets,town,Q2235501,sumy region,sever group of forces,0,33.3805831,51.5513288,607958328973716967
myrnohrad,dimitrov;dymytrov;mirnograd;mirnohrad;myrnograd;myrnohrad,town,Q45872,donetsk region,tsentr group of forces,0,37.2691344,48.2967169,593979876876436366
rodynske,rodinskoe;rodinskoye;rodynske,town,Q2416543,donetsk region,tsentr group of forces,0,37.2123455,48.3561532,594235152552584633
trubnyi,trubny;trubnyi;trubnyy,hamlet,Q4464249,luhansk region,zapad group of forces,0,38.7592277,48.1619853,593401207344201788
fedorivka,fedorivka;fedorovka;fyodorovka,town,Q4494101,luhansk region,zapad group of forces,0,38.8502955,48.3176218,594069663169340408
miusynsk,miusinsk;miusynsk,town,Q2415287,luhansk region,zapad group of forces,0,38.883957,48.0723582,593016262310487925
sadovo khrustalnenskyi,sadovo khrustalnenskiy;sadovo khrustalnensky;sadovo khrustalnenskyi,village,Q4404693,luhansk region,zapad group of forces,0,38.7286359,48.1517894,593357415857621180
shterivka,shterivka;shterovka,town,Q4526854,luhansk region,zapad group of forces,0,38.9488339,48.3172151,594067915117749474
khrustalnyi,khrustalny;khrustalnyi;khrustalnyy;krasny luch;krasnyi luch;krasnyy luch;krindachyovka,town,Q612773,luhansk region,zapad group of forces,0,38.919968,48.1315997,593270704763073567
khrustalne,khrustalne;khrustalnoe,town,Q4501862,luhansk region,zapad group of forces,0,38.8560054,48.1486975,593344135818869317
khrustalnyi,khrustalny;khrustalnyi;khrustalnyy;krasny luch;krasnyi luch,village,Q4501864,luhansk region,zapad group of forces,0,38.8858319,48.177316,593467053487943368
kamiane,kamennoe;kamennoye;kamenoye;kamiane;kamianoe;kamyanoye,town,Q4211181,luhansk region,,0,39.154965,48.1583868,593385754052266517
melnykove,melnikovo;melnykove;melnykovo,hamlet,Q4289930,luhansk region,zapad group of forces,0,39.0334689,48.1548601,593370605702492029
shchotove,shchotove;shchyotovo,town,Q4529344,luhansk region,,0,39.1073656,48.1731726,593449259438657574
martynivka,martynivka;martynovka,village,Q4282835,sumy region,sever group of forces,0,34.7077726,50.4436431,603200853830807101
ordzhonikidze,ordzhonikidze,town,Q1010485,autonomous republic of crimea,,0,35.361884,44.9741051,579709366997231964
kirovskoe,isliam terek;kirovskoe,town,Q2626751,autonomous republic of crimea,,0,35.2041326,45.2334554,580823266765291813
feodosia,feodosia;feodosiya,town,Q158491,autonomous republic of crimea,,0,35.3693702,45.0500606,580035595533174426
yalta,yalta,town,Q128499,autonomous republic of crimea,,0,34.1517381,44.5020691,577681987813487162
zaozernoe,zaozernoe;zaozyornoe;zaozyornoye,town,Q3889732,autonomous republic of crimea,,0,33.2873374,45.1658441,580532879729525161
lesnoe,lesnoe;suvuq suv,village,Q4259618,autonomous republic of crimea,,0,34.9538713,44.9409738,579567066140372879
simeiz,simeiz,town,Q514390,autonomous republic of crimea,,0,34.0045559,44.4065635,577271792666768204
gaspra,gaspra,town,Q206045,autonomous republic of crimea,,0,34.1131634,44.4364711,577400242253798283
parkovoe,parkovoe,town,Q3894361,autonomous republic of crimea,,0,33.914005,44.4038966,577260342283866517
massandra,massandra,town,Q206345,autonomous republic of crimea,,0,34.1928035,44.5127922,577728042747843235
morskoe,morskoe;qapıshor,village,Q4303312,autonomous republic of crimea,,0,34.8017758,44.8304955,579092562448326000
novyi svet,novy svet;novyi svet;novyy svet,town,Q388147,autonomous republic of crimea,,0,34.9134485,44.8299641,579090286115770793
koreiz,koreiz,town,Q206189,autonomous republic of crimea,,0,34.0805182,44.4318042,577380201936362501
kuprine,kuprine;kuprino,village,Q4247557,autonomous republic of crimea,,0,34.0158066,45.1633426,580522138017046335
aromat,aromat,village,Q3915159,autonomous republic of crimea,,0,33.937819,44.5785617,578010522746646171
bakhchysarai,bakhchisaray;bakhchysarai;bağçasaray,town,Q158604,autonomous republic of crimea,,0,33.8740961,44.7512075,578752027375400368
pochtovoye,pochtovoe;pochtovoye,town,Q3891473,autonomous republic of crimea,,0,33.9486409,44.8365022,579118366610987233
simferopol,simferopol,city,Q19566,autonomous republic of crimea,,0,34.1139194,44.9475384,579595262599831167
molodyozhnoe,molodizhne;molodyozhnoe;molodyozhnoye,town,Q2040011,autonomous republic of crimea,,0,34.0664198,45.0003572,579822118477391092
agrarnoye,agrarnoe;agrarnoye,town,Q2384269,autonomous republic of crimea,,0,34.0521419,45.0138384,579880018931494190
aeroflotsky,aeroflotskiy;aeroflotsky,town,Q2026780,autonomous republic of crimea,,0,34.0015696,45.0192405,579903224639743906
komsomolskoye,komsomolskoe;komsomolskoye,town,Q2046367,autonomous republic of crimea,,0,34.025697,45.0190729,579902503085262305
volnoye,volnoe;volnoye,town,Q2079708,autonomous republic of crimea,,0,34.3028644,45.5675873,582258352776937616
strogonovka,strogonovka,village,Q4444081,autonomous republic of crimea,,0,34.180254,44.9464313,579590508071100830
donske,donske;donskoe,village,Q4166375,autonomous republic of crimea,,0,34.2218867,45.0412443,579997726805378111
aromatnoe,aromatnoe,village,Q3920779,autonomous republic of crimea,,0,34.3981968,45.0366856,579978150344619253
kolchuhyne,kolchugino;kolchuhyne,village,Q4229033,autonomous republic of crimea,,0,33.7852271,44.9432236,579576734110587531
pozharske,pozharske;pozharskoe,village,Q4368688,autonomous republic of crimea,,0,33.873425,44.9359082,579545307834970897
kurortnoe,kurortne;kurortnoe;kurortnoye,town,Q2011775,autonomous republic of crimea,,0,35.1774461,44.9118366,579441927973460198
skvortsove,skvortsove;skvortsovo,village,Q4421780,autonomous republic of crimea,,0,33.8192571,45.0763996,580148720675233657
mirnyi,mirny;mirnyi;mirnyy,town,Q821951,autonomous republic of crimea,,0,33.0393227,45.3230978,581208280516442331
